tag,category,implications
black_thong,100,black_underwear thong
black_tie_(suit),100,suit
black_tongue,102,tongue
black_topwear,100,black_clothing topwear
black_tuft,102,tuft
black_underwear,100,black_clothing underwear
black_vest,102,black_topwear vest
black_vulva,102,black_genitals vulva
black_whiskers,102,whiskers
black_wings,102,wings
blahaj,4,
blaidd_(elden_ring),4,
blanket,100,bedding
blastoise,5,pokemon_(species)
blaze_(marking),103,facial_markings
blaze_the_cat,4,
blaziken,5,pokemon_(species)
blender_cycles,7,
blep,101,tongue_out
blin_(tloz),5,goblin
blind_eye,103,
blindfold,105,
blinds,100,
blitzo_(helluva_boss),4,
bloated,103,
blockage_(layout),7,
blonde_eyebrows,103,eyebrows
blonde_hair,103,hair
blonde_mane,103,mane
blood,104,bodily_fluids
blood_elf,5,elf warcraft
blood_from_mouth,104,blood_in_mouth
blood_in_mouth,104,blood
blood_on_clothing,104,blood clothing
blood_on_face,104,blood
blood_on_hand,104,blood
blood_splatter,104,blood
bloodshot_eyes,104,
blue_(jurassic_world),4,
blue_and_white,7,monochrome
blue_anus,102,anus
blue_areola,102,areola
blue_arms,102,
blue_background,107,simple_background
blue_balls,102,balls blue_genitals
blue_bikini,100,bikini blue_swimwear
blue_body,102,
blue_border,110,border
blue_bottomwear,100,blue_clothing bottomwear
blue_bow,100,bow_(feature)
blue_breasts,102,breasts
blue_claws,102,claws
blue_clothing,100,clothing
blue_collar,105,collar
blue_countershading,102,blue_body countershading
blue_cum,102,colored_cum
blue_dress,100,blue_clothing dress
blue_ears,102,
blue_eyebrows,102,eyebrows
blue_eyes,102,
blue_eyeshadow,102,blue_makeup eyeshadow
blue_face,102,
blue_feathers,102,blue_body feathers
blue_feet,102,feet
blue_fire,102,colored_fire
blue_footwear,100,blue_clothing footwear
blue_fox_(foxes_in_love),4,
blue_fur,102,blue_body fur
blue_genitals,102,genitals
blue_glans,102,glans
blue_gloves,100,blue_clothing gloves
blue_hair,102,hair
blue_hands,102,
blue_hat,100,blue_headwear hat
blue_headwear,100,blue_clothing headwear
blue_highlights,102,highlights_(coloring)
blue_hoodie,100,blue_topwear hoodie
blue_horn,102,horn
blue_inner_ear,102,
blue_insides,102,
blue_jacket,100,blue_topwear jacket
blue_jay,5,corvid
blue_jeans,100,blue_pants jeans
blue_legwear,100,blue_clothing legwear
blue_lips,102,lips
blue_lipstick,102,blue_makeup lipstick
blue_makeup,102,makeup
blue_mane,102,mane
blue_markings,102,markings
blue_mouth,102,
blue_nails,102,colored_nails
blue_nipples,102,nipples
blue_nose,102,
blue_panties,100,blue_underwear panties
blue_pants,100,blue_bottomwear pants
blue_pawpads,102,pawpads
blue_penis,102,blue_genitals penis
blue_scales,102,blue_body scales
blue_scarf,100,scarf
blue_sclera,102,
blue_shirt,100,blue_topwear shirt
blue_shoes,100,blue_footwear shoes
blue_shorts,100,blue_bottomwear shorts
blue_skin,102,blue_body
blue_skirt,100,blue_bottomwear skirt
blue_spots,102,spots
blue_stripes,102,stripes
blue_sweater,100,blue_topwear sweater
blue_swimwear,100,blue_clothing swimwear
blue_tail,102,tail
blue_text,110,text
blue_theme,7,
blue_tongue,102,tongue
blue_topwear,100,blue_clothing topwear
blue_tuft,102,tuft
blue_underwear,100,blue_clothing underwear
blue_vulva,102,blue_genitals vulva
blue_wings,102,wings
blue_yoshi,5,yoshi
bluebird,5,oscine
bluey_(series),3,
bluey_heeler,4,bluey_(series)
blurred_background,107,
blush,103,
blush_lines,110,blush
blush_stickers,110,blush
